id,name,name_zh,open_status,introduction,open_time,zipcode,distric,address,tel,fax,email,months,nlat,elong,official_site,facebook,ticket,remind,staytime,modified,url,target,service,friendly,images,files,links,cat2,cat3,cat4,cat5,cat6,category_id,category_name,distance(km)
1726,臺鐵臺北車站,,1,"臺北車站（臺灣高鐵、臺北捷運稱為臺北車站）位於臺灣臺北市中正區，為臺灣鐵路管理局、臺灣高速鐵路、及臺北捷運三鐵共構的地下化鐵路車站，也是臺北捷運板南線、淡水信義線之交會車站，不僅是北臺灣首要的交通樞紐，也是臺灣建築規模與運量最大的鐵路車站，每日轉乘的旅客約50萬人次以上，總使用人次居於全球第25名。

臺北車站於1891年7月5日設站，歷經多次遷移與改建後，現今站體為1989年9月2日啟用，臺鐵局本部也設於此地，隨著捷運、高鐵進駐之後，形成幅員廣闊的地下街區。車站周邊有商辦、補習班聚集的站前商圈，若再連結臺北轉運站、捷運北門站、機場捷運臺北站、華山特區等「臺北車站特定區」關聯設施，面積可達46.31公頃。另外臺北車站常被稱為「臺北火車站」，臺語則稱為「臺北火車頭」或「臺北車頭」，年輕族群則常簡稱為「北車」。",,100,中正區,100 臺北市中正區北平西路3號B1,+886-2-21910096  ,,,"01,07,02,08,03,09,04,10,05,11,06,12",25.04775,121.51704,https://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1000,,,設有穆斯林祈禱室,,2025-04-29 14:57:17 +08:00,https://www.travel.taipei/zh-tw/attraction/details/1726,[],[],"[{'id': 392, 'name': '無障礙友善服務'}]","[{'src': 'https://www.travel.taipei/image/112858', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/112859', 'subject': '', 'ext': '.jpg'}]",[],[],"{'id': 25, 'name': '無障礙旅遊推薦景點'}",,,,,13,歷史建築,0.01
32,台北當代藝術館,,1,"台北當代藝術館（MOCA Taipei）的館舍建築，本身就是一座極具歷史價值的市定古蹟。這棟建築落成於1921年，原為日治時期專供日本人子弟與少數菁英台籍學童受教育的「建成尋常小學校」。其建築風格鮮明，擁有紅磚表面、典雅的垂直長條型窗、木造屋架以及黑瓦洋風的斜屋頂。

1945年後，這棟建築轉變為臺北市政府的辦公廳舍，在幾十年的時間裡，扮演著驅動臺北市政建設的中樞角色。直到1994年，臺北市政府遷往信義區的新市政中心，這座建築才卸下重任。1996年，北市府舊廈被登錄為市定古蹟，並基於古蹟再利用的政策，展開新的轉型計畫。

美術館最初原名「臺北第二美術館」，後由臺北市立美術館（北美館）獨立出來，於2000年正式更名，並在2001年5月26日以「台北當代藝術館」之姿正式開幕。開館前七年採「公辦民營」模式，由當代藝術基金會負責推動台灣與國際藝壇的對話；2008年起則轉由臺北市文化基金會接手營運，持續結合官方與民間力量，推廣跨界創意。

作為國內唯一的當代藝術館，其核心目標始終是：推動多元風貌的藝術創作、激發民眾的新觀點與新思維，並為城市發展注入源源不絕的創意活力。為此，館內不僅致力於展示各種前衛的當代藝術作品，也積極服務參觀民眾，提供語音導覽及團體導覽；並於週末舉辦座談會、系列演講與工作坊等活動，歡迎大眾參與，拉近藝術與生活的距離。",每周一休館，每周二至周日開放時間為10:00 - 18:00，且售票於當日17:30停止服務。,103,大同區,103 臺北市大同區長安西路39號,+886-2-25523721,+886-2-25593874,services@mocataipei.org.tw,"01,07,02,08,03,09,04,10,05,11,06,12",25.05072,121.51892,http://www.mocataipei.org.tw/,https://www.facebook.com/TaipeiMOCA/,門票收費資訊請以官方網站公告為主。,"參觀台北當代藝術館時，請您務必遵守以下事項，以維護展覽空間及展出作品之品質與完整性，同時給您自己以及他人愉快的觀展經驗，台北當代藝術館感謝您的配合。

1.進入展場前，請將大於A4尺寸(21cm*30cm)、厚度超過9cm的物品及包包置放於寄物處。
2.請勿飲食、嚼食口香糖或檳榔。
3.請勿觸碰展品。
4.拍照請勿使用閃光燈、腳架及自拍棒。
5.全館禁止錄音錄影與直播。
6.請勿攜帶寵物(導盲犬、工作犬除外，本館不提供寵物寄放)。",,2025-11-04 16:26:29 +08:00,https://www.travel.taipei/zh-tw/attraction/details/32,"[{'id': 61, 'name': '親子共學'}, {'id': 62, 'name': '校外教學'}]",[],"[{'id': 387, 'name': '英語友善'}, {'id': 388, 'name': '日語友善'}, {'id': 390, 'name': '行動裝置充電'}, {'id': 392, 'name': '無障礙友善服務'}, {'id': 393, 'name': '性別友善'}, {'id': 394, 'name': '信用卡/悠遊卡/第三方支付服務'}, {'id': 398, 'name': 'WiFi友善'}, {'id': 400, 'name': '哺(集)乳友善'}]","[{'src': 'https://www.travel.taipei/image/63661', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/63662', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/63663', 'subject': '', 'ext': '.jpg'}]",[],"[{'src': 'https://www.mocataipei.org.tw/tw/Visit/%E6%99%82%E9%96%93%E8%88%87%E7%A5%A8%E5%83%B9', 'subject': '門票資訊'}]","{'id': 15, 'name': '藝文館所'}","{'id': 25, 'name': '無障礙旅遊推薦景點'}",,,,13,歷史建築,0.38
3676,臺北記憶倉庫(三井倉庫),,1,"「臺北記憶倉庫」為一座興建於日治時期的紅磚造建築。其空間作落在北門、臺北車站旁，且鄰近淡水河、大稻埕碼頭，反映當時臺北興盛的貿易發展，見證商貿運輸從水路轉向陸運的歷程。

本館以山林資源與物產貿易為主題，以流域與城市發展脈絡為故事，透過上中下游的空間演變述說土地上的人們如何使用、創造資源的歷程，同時創造多元觀點對話平臺。","周二至週日11:00-19:00
（週一休館）",100,中正區,100 臺北市中正區忠孝西路一段265號,+886-2-23714597,,service@taipeiinfohub.com.tw,"01,07,02,08,03,09,04,10,05,11,06,12",25.04769734564248,121.5124261379242,https://taipeiinfohub.com.tw/,https://www.facebook.com/Taipeiinfohub,,,,2025-06-02 14:08:21 +08:00,https://www.travel.taipei/zh-tw/attraction/details/3676,[],[],"[{'id': 392, 'name': '無障礙友善服務'}, {'id': 396, 'name': '友善廁所'}, {'id': 398, 'name': 'WiFi友善'}]","[{'src': 'https://www.travel.taipei/image/374134', 'subject': '', 'ext': '.jpg'}]",[],"[{'src': 'https://www.instagram.com/taipei_info_hub/', 'subject': '官方IG'}]","{'id': 15, 'name': '藝文館所'}","{'id': 25, 'name': '無障礙旅遊推薦景點'}",,,,13,歷史建築,0.46
257,國立臺灣博物館_古生物館,,1,"座落二二八公園對面，為自然史為主的古生物展覽館，是日據時期遺留下來的勸業銀行古蹟再利用。外部為巨大羅馬柱廊的石造建築，牆面材料則為分割灰縫作法，鑄鐵窗採用滑輪與重錘省力的上下開閉，且鑄鐵窗都嵌入六角網目鐵絲網壓花處理玻璃，可藉此見證當時的營建技術與工藝水準。

挑高三層樓的大廳以石膏浮雕泥塑板作為裝飾構件，裡面展示各樣古生物標本與大型恐龍模型...等，另常設有土地銀行行史金庫與建築修復的展覽。","週二至週日每日上午9:30起至下午5:00止
＊每週一、除夕及春節初一休館。
＊逢國定假日及連續假期均照常開館",100,中正區,100 臺北市中正區襄陽路25號,+886-2-23142699,,,"01,07,02,08,03,09,04,10,05,11,06,12",25.04356,121.51436,https://www.ntm.gov.tw/,https://www.facebook.com/NTMuseum,詳細票價資訊請參考官方網站,"※提供口述影像語音導覽, 協助視障者的專業服務人員
詳細參觀資訊請參考官方網站。",,2025-10-01 18:17:43 +08:00,https://www.travel.taipei/zh-tw/attraction/details/257,"[{'id': 61, 'name': '親子共學'}, {'id': 62, 'name': '校外教學'}]",[],"[{'id': 387, 'name': '英語友善'}, {'id': 388, 'name': '日語友善'}, {'id': 390, 'name': '行動裝置充電'}, {'id': 392, 'name': '無障礙友善服務'}, {'id': 395, 'name': '素食友善'}, {'id': 397, 'name': '販售公平貿易商品'}, {'id': 400, 'name': '哺(集)乳友善'}]","[{'src': 'https://www.travel.taipei/image/65317', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/65318', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/65319', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/65320', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/65321', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/65322', 'subject': '', 'ext': '.jpg'}]",[],[],"{'id': 15, 'name': '藝文館所'}","{'id': 25, 'name': '無障礙旅遊推薦景點'}",,,,13,歷史建築,0.54
102,臺北北門郵局_臺北901支,,1,"臺灣郵政股份有限公司臺北郵局的前身為劉銘傳所創設的「郵政總局」，日據時期，由於鐵路網設立，火車站的地位日益重要，而郵局業務因為和火車站關係密切，於是遷到今日位置。起初是日式木造建築，後因火災焚毀，乃於1929年重新改建為水泥鋼筋大樓。光復後，因郵政業務擴大及組織變革，遂於民國92年1月1日改制為國營「中華郵政股份有限公司臺北郵局」；96年2月9日更名為「臺灣郵政股份有限公司臺北郵局」。

臺北郵局是一棟巨大的四層建築，裝飾簡單、線條簡潔。入口門廊突出且呈圓拱狀，建物正面配置四組雙圓形古典式門柱及山頭裝飾，外觀上使用窗洞間內立雙柱分隔窗扇且分化成兩大一小的三開間正面，內部大廳挑高兩層，構造採簡化設計，柱子與大廳天花板的古典雕刻，十分細緻優雅，今日的臺北郵局，由於位在北門旁邊，又稱北門郵局，其郵政業務時間也比較長，直到夜晚還有許多人進出郵寄包裹。

文字來源：郵政博物館網站","週一至週五 郵務:08:30-21:00 
週一至週五 儲匯:08:30-21:00 
 週六:08:30-16:30 
 提供郵務及儲匯業務延時服務郵局(週一至週五)",100,中正區,100 臺北市中正區忠孝西路1段120號,+886-2-23615752,,,"01,07,02,08,03,09,04,10,05,11,06,12",25.04692,121.5114,https://www.post.gov.tw/post/internet/I_location/post.jsp?ID=1302&prsb_no=000100-6,,,,,2025-04-26 18:55:53 +08:00,https://www.travel.taipei/zh-tw/attraction/details/102,"[{'id': 61, 'name': '親子共學'}]",[],[],"[{'src': 'https://www.travel.taipei/image/64183', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/64184', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/64185', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/64186', 'subject': '', 'ext': '.jpg'}]",[],[],"{'id': 15, 'name': '藝文館所'}",,,,,13,歷史建築,0.57
2576,國立臺灣博物館_鐵道部園區,,1,"國定古蹟臺灣總督府鐵道部位於忠孝西路、塔城街、鄭州路、延平北路間，屬國營臺灣鐵路股份有限公司管轄。1885年臺灣巡撫劉銘傳聘請英國與德國顧問，於淡水河碼頭內建造機器局，組裝槍砲彈藥及鑄造貨幣，內有鎔鐵所、鍛工場等。1895年日本軍方接收機器局，改為臺北兵器修理所，製造並修理陸軍所管兵器，可製造彈丸、信管、小銃丸及藥筴、船舶、鐵道鐵橋等，之後改稱為臺灣砲兵工廠，1900年由陸軍省移交鐵道部，同年改為臺北工場。1908年臺灣西部縱貫鐵路開通，鐵路交通運量與車輛維修需求大增，1909年臺北工場向東擴張，新建車輛修理工場、塗工場。1915年起拆除基地南邊原有建物，1918年新建鐵道部廳舍，與臺北工場並存，成為南廳舍、北工廠配置，直到1934年臺北工場搬遷至松山(今國定古蹟臺北機廠)為止，街廓內原有將近四十棟建物，歷經2005年興建捷運以及2013古蹟修復拆除不保存者，目前尚餘十棟，其中包含八處法定文化資產：鐵道部、食堂、八角樓男廁、電源室、工務室、戰時指揮中心、清代機器局遺構以及臺北工場(不在鐵道部園區範圍內)。

戰後鐵道部改為臺灣鐵路管理局。因都市計畫劃道路塔城街於1967年開通，切斷與西側鐵道部官舍群連結形成今日所見的街廓。1992年臺北市政府指定鐵道部廳舍為三級古蹟，1993年臺鐵總局遷移至臺北車站新廈。2005年文建會委託東海大學、中原大學進行古蹟調查研究及再利用規劃，2006年交通部與臺灣鐵路管理局，以及文建會與國立臺灣博物館簽訂臺灣博物館系統聯盟協議書，鐵道部古蹟修復再利用工作正式開始，以「鐵道部博物館園區」為基礎概念，目標為建置現代性展示主題之複合使用園區，並整合周邊都市及歷史涵構。2007年文建會指定為國定古蹟，並納入八角樓、食堂、電源室、工務室、戰時指揮中心為古蹟範圍，臺北工場及清代機器局遺址則分別由臺北市於2008年及2010年指定為市定古蹟，2009年起由臺博館代管此區土地建物。規劃中的鐵道博物館展示主題將主要架構在古蹟與基地、鐵道文化及現代性等相關議題之上，未來也將涉及整合西側原機器局工廠範圍內E1E2街廓。

(資料來源：國立臺灣博物館)",,103,大同區,103 臺北市大同區延平北路一段2號,+886-2-25589790,,,"01,07,02,08,03,09,04,10,05,11,06,12",25.048833955296377,121.51138342916964,https://www.ntm.gov.tw/,https://www.facebook.com/NTMuseum,,,,2025-10-01 18:26:04 +08:00,https://www.travel.taipei/zh-tw/attraction/details/2576,"[{'id': 61, 'name': '親子共學'}, {'id': 62, 'name': '校外教學'}]",[],"[{'id': 392, 'name': '無障礙友善服務'}]","[{'src': 'https://www.travel.taipei/image/207889', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/207890', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/207891', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/207892', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/207893', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/207894', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/207895', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/207896', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/207888', 'subject': '', 'ext': '.jpg'}]",[],[],"{'id': 15, 'name': '藝文館所'}","{'id': 19, 'name': '親子共遊'}",,,,13,歷史建築,0.58
88,北門_承恩門(目前暫停開放),,1,"※本景點目前暫停開放，開放日期請依主管機關公告為準

臺北古城有一共有5個城門：東門（景福門）、西門（寶成門）、南門（麗正門）、小南門（重熙門）、北門（承恩門），是清光緒年代，劉銘傳時期所建造，鼓勵商人在臺北城內，投資興建房舍，形成街道，活絡發展。

北門又稱承恩門，面向北方有「承接天恩」之意，是台北僅存的閩南式建築原貌城門，它的區位重要性，在現代是老台北城區「西區」的樞紐地標，在清領時期而言，更是「城內」通往「大稻埕」的核心門戶。是以，西區門戶計畫以北門為核心並聯結周邊日治「鐵道部」、「台北郵局」、「大阪商社」、「三井倉庫」以及清領時期「撫臺街洋樓」、「機器局」......古蹟群，形成「面狀」的歷史景點脈絡，並營造臺北車站前行旅廣場為國家門戶意象，串連臺北車站至北門間軸帶。

近年建設規劃中原要被拆除的北門，隨著保存文化遺產的觀念興起，於是原樣留下了北門古蹟，北門成為5門當中，唯一以清領時期風貌保留的古城門，是臺北最珍貴的國定古蹟之一，也由於早期具有的防禦功能，成為國防的歷史見證。",,100,中正區,100 臺北市中正區忠孝西路、博愛路交叉口,+886-2-27208889,,,"01,07,02,08,03,09,04,10,05,11,06,12",25.04773,121.51123,,,,,,2025-09-26 17:40:37 +08:00,https://www.travel.taipei/zh-tw/attraction/details/88,[],[],[],"[{'src': 'https://www.travel.taipei/image/64142', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/64143', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/64144', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/64145', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/64135', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/64136', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/64137', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/64139', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/64140', 'subject': '', 'ext': '.jpg'}]",[],[],"{'id': 25, 'name': '無障礙旅遊推薦景點'}",,,,,13,歷史建築,0.58
22,國立臺灣博物館,,1,"座落於台北市二二八和平紀念公園內的「國立臺灣博物館」，是臺灣現存歷史最悠久的博物館。其本館建築本身就是一座壯麗的國定古蹟，落成於日治時期，融合了希臘式與羅馬圓頂的建築風格。當您走近時，會被其宏偉的柱廊、精緻的雕刻，以及入口上方巨大的羅馬式穹頂所震撼；踏入挑高的大廳，陽光穿透圓頂的彩繪玻璃天窗灑落，營造出莊嚴而典雅的空間氛圍，光是欣賞建築本身就是一大享受。

館內收藏了豐富的臺灣特有動植物標本、地質礦物，以及珍貴的民族學藏品，完整呈現了這片土地的生物多樣性與人文風貌。其中，鎮館之寶之一的「藍地黃虎旗」，更是見證了臺灣近代史的關鍵時刻。

","週二至週日每日上午9:30起至下午5:00止
＊每週一、除夕及春節初一休館。
＊逢國定假日及連續假期均照常開館",100,中正區,100 臺北市中正區襄陽路2號,+886-2-23822566,,,"01,07,02,08,03,09,04,10,05,11,06,12",25.04276,121.51503,https://www.ntm.gov.tw/,https://www.facebook.com/NTMuseum,"臺博館本館及古生物館一次購票(當日)可參觀兩館
全票：每張 30元｜半票：每張 15元
四館聯票 全票：130元 ｜半票：65元
會員卡 全票：300元
＊半票優待：學生、6至12歲兒童，年滿65歲以上的民眾假日半票，機關學校團體二十人(含)以上(須一週前網路預約申請)
＊免票優待，均憑證(函)優待，未滿六歲之學齡前兒童，年滿六十五歲以上的民眾平日免費．身心障礙者及其陪同者一人，持中華民國博物館學會、ICOM、AAM會員卡(證)，持志願服務榮譽卡
＊臺博館提供各館悠遊卡、信用卡、台灣Pay售票服務
＊於閉館前30分鐘停止售票服務","請勿於館內吸煙、飲食、奔跑嬉戲及其他有安全疑慮之行為。
請勿攜帶食物、液體、傘具、危險物或易燃物入館。
請依規定購票，接洽公務者請至館前行政大樓。
服裝不整、攜帶寵物者(導盲犬除外)謝絕入館。
請勿使用閃光燈、腳架及自拍棒攝影，並禁止做任何未經許可之商業及出版使用。
本館大門口備有身心障礙專用電梯。
華語定時導覽AM10:30、PM2:30。
提供寄物收納櫃：大置物櫃40*40*80cm、小置物櫃40*40*40cm
※提供口述影像語音導覽, 協助視障者的專業服務人員",,2025-11-03 19:00:16 +08:00,https://www.travel.taipei/zh-tw/attraction/details/22,"[{'id': 61, 'name': '親子共學'}, {'id': 62, 'name': '校外教學'}]",[],"[{'id': 387, 'name': '英語友善'}, {'id': 388, 'name': '日語友善'}, {'id': 390, 'name': '行動裝置充電'}, {'id': 392, 'name': '無障礙友善服務'}, {'id': 394, 'name': '信用卡/悠遊卡/第三方支付服務'}, {'id': 397, 'name': '販售公平貿易商品'}, {'id': 398, 'name': 'WiFi友善'}, {'id': 400, 'name': '哺(集)乳友善'}]","[{'src': 'https://www.travel.taipei/image/63528', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/63508', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/63510', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/63516', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/63520', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/63521', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/63523', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/63527', 'subject': '', 'ext': '.jpg'}]",[],[],"{'id': 15, 'name': '藝文館所'}","{'id': 18, 'name': '公共藝術'}","{'id': 25, 'name': '無障礙旅遊推薦景點'}",,,13,歷史建築,0.59
258,撫臺街洋樓 (《人民導報》舊址)(暫停營業),,1,原為大倉組臺灣出張所土木事業公司舊址，在1930年代後期，改由進口「富久娘」的酒商佐土原吉雄接手。1946年1月1日宋斐如、王添灯在此經營《人民導報》，尖銳評論、批判時局。在事件爆發後，宋斐如、王添灯遭到逮捕，從此下落不明，並遭警總以「思想反動言論荒謬詆毀政府煽動暴亂之主要力量」之罪查封。,"週一至週六 10:00-18:00 (週日休館)
※詳細開館時間請至官方網站查詢。",100,中正區,100 臺北市中正區延平南路26號,+886-2-23148080,,,"01,07,02,08,03,09,04,10,05,11,06,12",25.04671,121.51081,,https://www.facebook.com/futai1910,,,,2025-10-17 19:27:18 +08:00,https://www.travel.taipei/zh-tw/attraction/details/258,"[{'id': 61, 'name': '親子共學'}, {'id': 62, 'name': '校外教學'}]",[],[],"[{'src': 'https://www.travel.taipei/image/89478', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/89479', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/89480', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/89481', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/89482', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/89483', 'subject': '', 'ext': '.jpg'}]",[],[],"{'id': 15, 'name': '藝文館所'}",,,,,13,歷史建築,0.64
93,國立臺灣大學醫學院附設醫院_西址,,1,臺大醫院創建於日據時期，昔稱臺北病院、臺灣總督府臺北醫院、臺北帝國大學醫學部附設醫院，戰後改稱為國立臺灣大學醫學院附設醫院，是臺灣近代醫學發展的核心，西址院區之建物目前做為門診及部分病房之用。本建築由近藤十郎先生設計，為文藝復興風格之紅磚鋼筋混凝土2層建物，在平面配置採取左右對稱的格局，以中央走廊貫穿，連接各門診及病房。大廳莊嚴華麗，空間寬敞，運用了許多西洋式建築技巧，是近代洋式建築的傑作，在當時是東南亞最大型及最現代化的醫院。,,100,中正區,100 臺北市中正區常德街1號,+886-2-23123456,,,"01,07,02,08,03,09,04,10,05,11,06,12",25.04199,121.51722,https://www.ntuh.gov.tw/ntuh/Index.action,,,屬醫療場所，為維護病友權益，院區內謝絕參觀。,,2025-04-26 18:11:07 +08:00,https://www.travel.taipei/zh-tw/attraction/details/93,"[{'id': 61, 'name': '親子共學'}, {'id': 62, 'name': '校外教學'}]",[],[],"[{'src': 'https://www.travel.taipei/image/175434', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/180048', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/180049', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/180050', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/180051', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/180052', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/180053', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/180054', 'subject': '', 'ext': '.jpg'}, {'src': 'https://www.travel.taipei/image/180055', 'subject': '', 'ext': '.jpg'}]",[],[],"{'id': 25, 'name': '無障礙旅遊推薦景點'}",,,,,13,歷史建築,0.64
